Account,Total_Trades,Trading_Days,Avg_Trades_Per_Day,Avg_Daily_Volume_USD,Avg_Daily_Buy_Volume,Avg_Daily_Sell_Volume,Buy_Sell_Volume_Ratio,Max_Day_Volume_Share
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,131,306.75,565708.48,283901.91,299748.94,0.96,0.07
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,28,756.86,2429869.29,1510927.25,1512866.99,0.96,0.15
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,64,243.83,310440.75,155162.63,218045.22,0.94,0.08
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,174,86.2,70717.17,41178.61,38814.71,0.98,0.1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,256,57.55,220873.3,148084.64,155748.21,0.91,0.14
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,162,82.17,41710.01,21483.09,21828.94,0.97,0.13
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,39,313.74,10791706.57,6012899.47,8767711.45,1.0,0.12
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,146,67.76,176229.43,88015.71,90036.1,0.97,0.06
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,144,59.16,30616.87,15852.08,16094.2,0.97,0.05
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,321,23.63,403964.27,245014.39,296752.2,1.0,0.05
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,52,140.0,231451.69,161471.66,147830.15,0.99,0.12
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,35,138.23,3110772.6,1601658.81,1600607.1,1.0,0.12
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,92,50.01,110258.24,124559.05,69387.23,1.12,0.25
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,58,75.1,682292.23,432530.73,478787.3,0.97,0.15
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,24,159.08,2570719.33,1581515.08,1582423.87,0.95,0.32
0x271b280974205ca63b716753467d5a371de622ab,3809,12,317.42,2822786.7,1694637.99,1410588.37,1.0,0.28
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,46,78.02,373769.03,260294.07,238990.86,1.0,0.21
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,69,46.94,147346.09,72451.09,74895.0,0.97,0.11
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,18,169.56,610686.43,451906.53,367771.63,2.32,0.16
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,67,39.42,309513.31,280966.85,181431.9,1.01,0.09
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,54,35.39,222206.91,123808.33,257937.61,1.02,0.5
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,19,83.68,603921.1,454875.21,429714.17,0.91,0.25
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,26,59.96,224787.86,145942.94,162534.76,1.0,0.48
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,66,21.67,46229.46,45139.78,36105.34,0.8,0.15
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,28,44.18,105932.47,189658.72,76173.2,0.62,0.16
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,47,20.74,15490.59,9523.76,13010.13,0.65,0.07
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,43,18.95,32788.42,30589.96,23676.94,0.7,0.16
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,15,37.53,111828.38,85127.58,81986.85,1.56,0.34
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,20,26.7,222416.16,136269.16,174462.83,0.96,0.17
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,37,11.27,23292.15,39565.22,11403.57,1.8,0.17
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,20,19.15,99376.38,58931.4,103021.71,0.48,0.24
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,28,11.86,40853.44,40135.84,26406.47,1.28,0.12
